,net_name,train_type,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
307,alexnet,train_finetune_data,3,2_v_5,8,absent,0.63,,,
308,alexnet,train_finetune_data,3,2_v_5,1,both,0.95,0.9891304347826086,0.08333333333333333,3.677889336343733
309,alexnet,train_finetune_data,3,2_v_5,2,both,0.755,0.8148148148148148,0.2857142857142857,1.4617286408164523
310,alexnet,train_finetune_data,3,2_v_5,4,both,0.505,0.5063291139240507,0.49586776859504134,0.026223554770203723
311,alexnet,train_finetune_data,3,2_v_5,8,both,0.515,0.5194805194805194,0.4878048780487805,0.07942324225726861
312,alexnet,train,0,RVvGV,1,present,1.0,,,
313,alexnet,train,0,RVvGV,2,present,1.0,,,
314,alexnet,train,0,RVvGV,4,present,1.0,,,
315,alexnet,train,0,RVvGV,8,present,1.0,,,
316,alexnet,train,0,RVvGV,1,absent,1.0,,,
317,alexnet,train,0,RVvGV,2,absent,1.0,,,
318,alexnet,train,0,RVvGV,4,absent,1.0,,,
319,alexnet,train,0,RVvGV,8,absent,1.0,,,
320,alexnet,train,0,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
321,alexnet,train,0,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
322,alexnet,train,0,RVvGV,4,both,1.0,0.995,0.005,5.151658607097801
323,alexnet,train,0,RVvGV,8,both,1.0,0.995,0.005,5.151658607097801
324,alexnet,train,1,RVvGV,1,present,1.0,,,
325,alexnet,train,1,RVvGV,2,present,1.0,,,
326,alexnet,train,1,RVvGV,4,present,1.0,,,
327,alexnet,train,1,RVvGV,8,present,1.0,,,
328,alexnet,train,1,RVvGV,1,absent,1.0,,,
329,alexnet,train,1,RVvGV,2,absent,1.0,,,
330,alexnet,train,1,RVvGV,4,absent,1.0,,,
331,alexnet,train,1,RVvGV,8,absent,1.0,,,
332,alexnet,train,1,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
333,alexnet,train,1,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
334,alexnet,train,1,RVvGV,4,both,1.0,0.995,0.005,5.151658607097801
335,alexnet,train,1,RVvGV,8,both,1.0,0.995,0.005,5.151658607097801
336,alexnet,train,2,RVvGV,1,present,1.0,,,
337,alexnet,train,2,RVvGV,2,present,1.0,,,
338,alexnet,train,2,RVvGV,4,present,1.0,,,
339,alexnet,train,2,RVvGV,8,present,1.0,,,
340,alexnet,train,2,RVvGV,1,absent,1.0,,,
341,alexnet,train,2,RVvGV,2,absent,1.0,,,
342,alexnet,train,2,RVvGV,4,absent,0.99,,,
343,alexnet,train,2,RVvGV,8,absent,1.0,,,
344,alexnet,train,2,RVvGV,1,both,1.0,0.995,0.005,5.151658607097801
345,alexnet,train,2,RVvGV,2,both,1.0,0.995,0.005,5.151658607097801
346,alexnet,train,2,RVvGV,4,both,0.995,0.9900990099009901,0.005050505050505051,4.9024310337307995
347,alexnet,train,2,RVvGV,8,both,1.0,0.995,0.005,5.151658607097801
348,alexnet,train,3,RVvGV,1,present,1.0,,,
349,alexnet,train,3,RVvGV,2,present,1.0,,,
350,alexnet,train,3,RVvGV,4,present,1.0,,,
351,alexnet,train,3,RVvGV,8,present,1.0,,,
352,alexnet,train,3,RVvGV,1,absent,1.0,,,
353,alexnet,train,3,RVvGV,2,absent,1.0,,,
